business_name,phone,address,google_rating,review_count,website,notes
Eagle Auto Service,(303) 935-2722,"2089 S Zuni St, Denver, CO 80223",4.4,30+,N/A,"South Denver"
Precision Automotive,(303) 431-6100,"5555 W 88th Ave, Westminster, CO 80031",4.6,50+,N/A,"Westminster area"
The Neighborhood Mechanic,(720) 898-6300,"10500 W Colfax Ave, Lakewood, CO 80215",4.5,40+,N/A,"West Lakewood"
Cheap And Reliable,(303) 403-7775,"6955 N Federal Blvd, Westminster, CO 80030",4.3,35+,N/A,"Budget-friendly; Westminster"
Hotchkiss Auto,(303) 937-0800,"2050 W 92nd Ave, Federal Heights, CO 80260",4.4,55+,N/A,"North metro"
Dave's Automotive,(303) 466-1453,"6185 W 44th Ave, Wheat Ridge, CO 80033",4.5,45+,N/A,"Wheat Ridge area"
Christian Brothers Automotive South Aurora,(720) 708-3500,"21550 E Quincy Ave, Aurora, CO 80015",4.7,16+,cbac.com,"Newer location; South Aurora"
Checkpoint Automotive,(303) 755-8188,"8520 E Colfax Ave, Denver, CO 80220",4.3,40+,N/A,"East Denver"
Lube and Latte,(303) 988-0234,"10265 W Colfax Ave, Lakewood, CO 80215",4.2,30+,N/A,"Unique concept - coffee while you wait"
Metro Denver Auto Care,(303) 331-2200,"1450 S Abilene St, Aurora, CO 80012",4.4,35+,N/A,"Aurora"
Aurora Import Auto Repair,(303) 341-1400,"12860 E Mississippi Ave, Aurora, CO 80012",4.5,50+,N/A,"Import specialists; Aurora"
Thornton Auto Care,(303) 920-1600,"8501 Washington St, Thornton, CO 80229",4.4,40+,N/A,"Thornton area"
Centennial Automotive,(303) 699-1555,"6925 S Yosemite St, Centennial, CO 80112",4.5,60+,N/A,"Centennial/DTC area"
